gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1457583190	StillImage	image/jpeg	https://static.inaturalist.org/photos/6277513/original.jpeg?1487042828	https://inaturalist.nz/photos/6277513			2016-10-25T03:32:28Z	War Weeds		iNaturalist			http://creativecommons.org/licenses/by/4.0/	War Weeds
1455595187	StillImage	image/jpeg	https://static.inaturalist.org/photos/6796770/original.jpg?1490914054	https://inaturalist.nz/photos/6796770			2017-03-28T00:00:00Z	lilylamble		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	lilylamble
1455592013	StillImage	image/jpeg	https://static.inaturalist.org/photos/6781433/original.jpg?1490820323	https://www.inaturalist.org/photos/6781433			2017-03-29T20:44:00Z	Sheri		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sheri
1455035157	StillImage	image/jpeg	http://species-id.net/o/media/c/c3/Übersichtskarte_Hiemeyer.jpg											
1453551154	StillImage	image/jpeg	https://static.inaturalist.org/photos/1204634/original.?1413273328	http://www.inaturalist.org/photos/1204634			2013-02-15T20:19:43Z	xurizaemon		iNaturalist			http://creativecommons.org/licenses/by/4.0/	xurizaemon
1453545223	StillImage	image/jpeg	https://static.inaturalist.org/photos/996744/original.JPG?1405817030	http://www.inaturalist.org/photos/996744			2014-07-19T07:01:36Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453545179	StillImage	image/jpeg	https://static.inaturalist.org/photos/993602/original.JPG?1405682732	http://www.inaturalist.org/photos/993602			2014-07-13T13:06:14Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453545138	StillImage	image/jpeg	https://static.inaturalist.org/photos/990532/original.JPG?1405554715	http://www.inaturalist.org/photos/990532			2014-07-13T11:57:58Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453544176	StillImage	image/jpeg	https://static.inaturalist.org/photos/935283/original.JPG?1403136218	http://www.inaturalist.org/photos/935283			2014-06-17T10:29:23Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453544128	StillImage	image/jpeg	https://static.inaturalist.org/photos/933951/original.JPG?1403100632	http://www.inaturalist.org/photos/933951			2014-06-17T08:32:03Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453543996	StillImage	image/jpeg	https://static.inaturalist.org/photos/926493/original.JPG?1402797214	http://www.inaturalist.org/photos/926493			2014-06-12T11:37:41Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453543977	StillImage	image/jpeg	https://static.inaturalist.org/photos/925215/original.JPG?1402751904	http://www.inaturalist.org/photos/925215			2014-06-11T17:46:26Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453543977	StillImage	image/jpeg	https://static.inaturalist.org/photos/925216/original.JPG?1402751905	http://www.inaturalist.org/photos/925216			2014-06-11T17:46:28Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1453543796	StillImage	image/jpeg	https://static.inaturalist.org/photos/915752/original.JPG?1402407747	http://www.inaturalist.org/photos/915752			2014-06-09T12:44:38Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
